Airport Name,City,Country,3 Char Code,Identifier,Lat,Long,rand1,rand2,rand3
Lancaster Amtrak Station,Lancaster,United States,\N,\N,40.05,-76.31,345,-5,A
Ardmore Amtrak Station,Ardmore,United States,\N,\N,40.01,-75.29,360,-5,A
Abaiang Airport,Abaiang Atoll,Kiribati,ABF,NGAB,1.798609972,173.0410004,0,12,U
Metropark Amtrak Station,Iselin,United States,\N,\N,40.568,-74.3275,1,-5,A
St. Louis Downtown Airport,East St. Louis,United States,CPS,\N,38.5707244,-90.1562211,413,-6,U
Afobakka Airstrip,Afobaka,Suriname,\N,SMAF,4.998505,-54.992033,80,-3,U
Alalapadu Airstrip,Alapadu,Suriname,\N,SMDU,2.5235,-56.3247,880,-3,U
Albina Airport,Albina,Suriname,ABN,SMBN,5.512720108,-54.05009842,19,-3,U
Lawa Anapaike Airstrip,Anapaike,Suriname,\N,SMLA,3.416667,-54.033333,10,-3,U
Apetina Airstrip,Apetina,Suriname,\N,SMPT,3.5017,-55.0614,10,-3,U
Botopassi Airstrip,Botopasi,Suriname,BTO,\N,4.233333,-55.45,10,-3,U
Djoemoe Airstrip,Djoemoe,Suriname,DOE,\N,4.016667,-55.483333,10,-3,U
Drietabbetje Airport,Drietabbetje,Suriname,DRJ,SMDA,4.116666794,-54.66667175,236,-3,U
Kabalebo Airport,Kabalebo,Suriname,\N,SMKA,4.406000137,-57.22299957,535,-3,U
Kayser Airport,Kayser,Suriname,\N,SMKE,3.099999905,-56.48300171,849,-3,U
Kwamalasoemoetoe Airport Airport,Kwamelasemoetoe,Suriname,\N,SMSM,2.333329916,-56.78333282,905,-3,U
Moengo Airstrip,Moengo,Suriname,\N,SMMO,5.6076,-54.4003,49,-3,U
Nieuw Nickerie Airport,Nieuw Nickerie,Suriname,ICK,SMNI,5.955560207,-57.03939819,9,-3,U
Vincent Fayks Airport,Paloemeu,Suriname,OEM,SMPA,3.345279932,-55.44250107,714,-3,U
Sarakreek Airstrip,Sarakreek,Suriname,\N,SMSK,4.9,-55.083333,10,-3,U
Sipaliwini Airport,Sipaliwini,Suriname,\N,SMSI,1.966050029,-56.00350189,744,-3,U
Stoelmanseiland Airport,Stoelmans Eiland,Suriname,SMZ,SMST,4.349999905,-54.41666794,187,-3,U
Totness Airport,Totness,Suriname,TOT,SMCO,5.865829945,-56.32749939,10,-3,U
Wageningen Airstrip,Wageningen,Suriname,AGI,SMWA,5.766666889,-56.6333313,6,-3,U
Kaieteur International Airport,Kaieteur Falls,Guyana,KIA,PSKA,5.163333,-59.483333,95,-4,U
Codela Airport,Guapiles,Costa Rica,CSC,MRCA,10.41399956,-85.09169769,328,-6,U
Newport News Amtrak Station,Newport News,United States,\N,\N,37.0228,-76.4519,0,-5,A
Portland Union Station,Portland,United States,\N,\N,45.529,-122.6768,0,-8,A
Orinduik Airport,Orinduik,Guyana,ORJ,SYOR,4.725269794,-60.03499985,1797,-4,U
Annai Airport,Annai,Guyana,NAI,SYAN,3.959439993,-59.12419891,301,-4,U
Apoteri Airport,Apoteri,Guyana,\N,SYAP,4.013879776,-58.60499954,301,-4,U
Imbaimadai Airport,Imbaimadai,Guyana,IMB,SYIB,5.708109856,-60.2942009,1646,-4,U
Kamarang Airport,Kamarang,Guyana,KAR,SYKM,5.865340233,-60.61420059,1601,-4,U
Mabaruma Airport,Mabaruma,Guyana,USI,SYMB,8.199999809,-59.78329849,45,-4,U
Mahdia Airport,Mahdia,Guyana,MHA,SYMD,5.277490139,-59.15110016,300,-4,U
Dr Augusto Roberto Fuster International Airport,Pedro Juan Caballero,Paraguay,PJC,SGPJ,-22.63999939,-55.83000183,1873,-4,U
Alcides Fernández Airport,Acandi,Colombia,ACD,SKAD,8.51667,-77.3,50,-5,U
Los Colonizadores Airport,Saravena,Colombia,RVE,SKSA,6.951868,-71.857179,680,-5,U
La Chorrera Airport,La Chorrera,Colombia,LCR,\N,-0.733333,-73.016667,10,-5,U
Batagay Airport,Batagay,Russia,\N,UEBB,67.64800262,134.6950073,696,10,N
La Macarena,La Macarena,Colombia,LMC,\N,2.179167,-73.7875,10,-5,U
Villa Garzón Airport,Villa Garzon,Colombia,VGZ,SKVG,0.978767,-76.6056,1248,-5,U
El Bagre Airport,El Bagre,Colombia,EBG,SKEB,7.59647,-74.8089,180,-5,U
